ID_POST,Sentiment,Count,positive,negative,neutre
232821613450342_801150213284143,negative,0,0,1,0
232821613450342_801150213284143,positive,0,0,1,0
232821613450342_801150213284143,neutre,1,0,1,0
232821613450342_802866823112482,negative,0,0,1,0
232821613450342_802866823112482,positive,0,0,1,0
232821613450342_802866823112482,neutre,1,0,1,0
232821613450342_804214416311056,negative,0,0,1,0
232821613450342_804214416311056,positive,0,0,1,0
232821613450342_804214416311056,neutre,1,0,1,0
232821613450342_805343232864841,negative,0,0,1,1
232821613450342_805343232864841,positive,1,0,1,1
232821613450342_805343232864841,neutre,1,0,1,1
232821613450342_806106872788477,negative,0,0,1,0
232821613450342_806106872788477,positive,0,0,1,0
232821613450342_806106872788477,neutre,1,0,1,0
232821613450342_806227529443078,negative,0,0,0,1
232821613450342_806227529443078,positive,1,0,0,1
232821613450342_806227529443078,neutre,0,0,0,1
232821613450342_824520607613770,negative,0,0,1,2
232821613450342_824520607613770,positive,2,0,1,2
232821613450342_824520607613770,neutre,1,0,1,2
232821613450342_827511587314672,negative,0,0,1,0
232821613450342_827511587314672,positive,0,0,1,0
232821613450342_827511587314672,neutre,1,0,1,0
232821613450342_830766146989216,negative,0,0,1,0
232821613450342_830766146989216,positive,0,0,1,0
232821613450342_830766146989216,neutre,1,0,1,0
232821613450342_837923772940120,negative,3,3,1,0
232821613450342_837923772940120,positive,0,3,1,0
232821613450342_837923772940120,neutre,1,3,1,0
232821613450342_849069925158838,negative,0,0,1,0
232821613450342_849069925158838,positive,0,0,1,0
232821613450342_849069925158838,neutre,1,0,1,0
232821613450342_851728158226348,negative,1,1,0,1
232821613450342_851728158226348,positive,1,1,0,1
232821613450342_851728158226348,neutre,0,1,0,1
232821613450342_858564140876083,negative,0,0,2,1
232821613450342_858564140876083,positive,1,0,2,1
232821613450342_858564140876083,neutre,2,0,2,1
232821613450342_859086737490490,negative,0,0,0,2
232821613450342_859086737490490,positive,2,0,0,2
232821613450342_859086737490490,neutre,0,0,0,2
232821613450342_866353743430456,negative,0,0,1,0
232821613450342_866353743430456,positive,0,0,1,0
232821613450342_866353743430456,neutre,1,0,1,0
232821613450342_875616185837545,negative,2,2,0,0
232821613450342_875616185837545,positive,0,2,0,0
232821613450342_875616185837545,neutre,0,2,0,0
